idsbrokencres,model_name,cre,crd,repair,broken_cre_count,broken_cres
3553,WordPad,"CR04 []",CR04,"{(composite{557}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite), (shared{556}<InstanceType-AggregationKind{555}>(AggregationKindType).name = shared)}",1,"CR06 [pageEmbedded],"
3591,WordPad,"CR04 []",CR04,"{(_cDocOptions{7212}<InstanceType-Property{359}>(PropertyType).aggregation = Instance-composite{556}<InstanceType-AggregationKind{555}>), (composite{556}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite)}",1,"CR06 [_cDocOptions],"
3624,WordPad,"CR10 [EndModalLoop]",CR10,"{(EndModalLoop{2108}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-URL{4470}<InstanceType-Parameter{400}>)}",1,"CR11 [EndModalLoop],"
3633,WordPad,"CR10 [Duplicate]",CR10,"{(Duplicate{2798}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-URL{4470}<InstanceType-Parameter{400}>)}",1,"CR11 [Duplicate],"
3724,WordPad,"CR04 []",CR04,"{(composite{556}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite), (composite{556}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite)}",1,"CR06 [m_defCharFormat],"
3732,WordPad,"CR10 [XTwipsToClient]",CR10,"{(XTwipsToClient{7715}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-URL{4470}<InstanceType-Parameter{400}>)}",1,"CR11 [XTwipsToClient],"
3773,WordPad,"CR10 [SetDefault]",CR10,"{(SetDefault{8664}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-URL{4470}<InstanceType-Parameter{400}>)}",1,"CR11 [SetDefault],"
3792,WordPad,"CR10 [TrackRowSize]",CR10,"{(TrackRowSize{4893}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-URL{4470}<InstanceType-Parameter{400}>)}",1,"CR11 [TrackRowSize],"
3809,WordPad,"CR11 [AssertValid]",CR11,"{(AssertValid{4550}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-URL{4470}<InstanceType-Parameter{400}>)}",1,"CR14 [AssertValid],"
3832,WordPad,"CR10 [SetCancel]",CR10,"{(SetCancel{8666}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-URL{4470}<InstanceType-Parameter{400}>)}",1,"CR11 [SetCancel],"
3838,WordPad,"CR11 [DoModal]",CR11,"{(DoModal{5181}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-URL{4470}<InstanceType-Parameter{400}>)}",1,"CR14 [DoModal],"
3852,WordPad,"CR04 []",CR04,"{(shared{557}<InstanceType-AggregationKind{555}>(AggregationKindType).name = shared), (composite{556}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite)}",1,"CR06 [_cComboRulerItem],"
3900,WordPad,"CR10 [DrawInsert]",CR10,"{(DrawInsert{2299}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-URL{4470}<InstanceType-Parameter{400}>)}",1,"CR11 [DrawInsert],"
3907,WordPad,"CR10 [GetDocument]",CR10,"{(GetDocument{8598}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-URL{4470}<InstanceType-Parameter{400}>)}",1,"CR11 [GetDocument],"
3913,WordPad,"CR11 [SetVertPos]",CR11,"{(SetVertPos{7558}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-ar{1225}<InstanceType-Parameter{400}>)}",1,"CR14 [SetVertPos],"
