time,cr
12,CR2A
12,CR2A
8,CR2A
12,CR2A
12,CR2A
8,CR2A
13,CR2A
13,CR2A
12,CR2A
9,CR2A
7,CR2A
10,CR2A
11,CR2A
10,CR2A
13,CR2A
6,CR2A
18,CR2A
96,CR2A
15,CR2A
10,CR2A
22,CR2A
11,CR2A
16,CR2A
14,CR2A
12,CR2A
16,CR2A
15,CR2A
12,CR2A
12,CR2A
11,CR2A
17,CR2A
17,CR2A
14,CR2A
17,CR2A
16,CR2A
11,CR2A
22,CR2A
18,CR2A
18,CR2A
22,CR2A
15,CR2A
17,CR2A
20,CR2A
17,CR2A
16,CR2A
19,CR2A
19,CR2A
17,CR2A
12,CR2A
12,CR2A
15,CR2A
16,CR2A
18,CR2A
13,CR2A
10,CR2A
18,CR2A
15,CR2A
18,CR2A
11,CR2A
10,CR2A
12,CR2A
27,CR2A
10,CR2A
13,CR2A
14,CR2A
12,CR2A
12,CR2A
14,CR2A
15,CR2A
12,CR2A
12,CR2A
10,CR2A
10,CR2A
10,CR2A
11,CR2A
13,CR2A
10,CR2A
12,CR2A
25,CR2A
11,CR2A
12,CR2A
11,CR2A
10,CR2A
20,CR2A
15,CR2A
15,CR2A
12,CR2A
8,CR2A
21,CR2A
11,CR2A
11,CR2A
9,CR2A
14,CR2A
18,CR2A
13,CR2A
12,CR2A
15,CR2A
19,CR2A
8,CR2A
13,CR2A
16,CR2A
15,CR2A
12,CR2A
9,CR2A
9,CR2A
12,CR2A
10,CR2A
12,CR2A
22,CR2A
13,CR2A
15,CR2A
12,CR2A
19,CR2A
12,CR2A
16,CR2A
8,CR2A
14,CR2A
14,CR2A
16,CR2A
11,CR2A
10,CR2A
7,CR2A
14,CR2A
11,CR2A
10,CR2A
18,CR2A
13,CR2A
8,CR2A
8,CR2A
18,CR2A
14,CR2A
13,CR2A
13,CR2A
11,CR2A
12,CR2A
11,CR2A
11,CR2A
12,CR2A
11,CR2A
12,CR2A
8,CR2A
10,CR2A
16,CR2A
16,CR2A
13,CR2A
12,CR2A
7,CR2A
11,CR2A
18,CR2A
12,CR2A
13,CR2A
9,CR2A
13,CR2A
13,CR2A
12,CR2A
12,CR2A
10,CR2A
20,CR2A
16,CR2A
15,CR2A
16,CR2A
8,CR2A
11,CR2A
9,CR2A
15,CR2A
14,CR2A
12,CR2A
18,CR2A
15,CR2A
12,CR2A
16,CR2A
12,CR2A
13,CR2A
17,CR2A
19,CR2A
16,CR2A
15,CR2A
21,CR2A
9,CR2A
10,CR2A
16,CR2A
12,CR2A
16,CR2A
15,CR2A
13,CR2A
24,CR2A
12,CR2A
14,CR2A
9,CR2A
11,CR2A
10,CR2A
9,CR2A
14,CR2A
11,CR2A
11,CR2A
13,CR2A
11,CR2A
9,CR2A
11,CR2A
11,CR2A
10,CR2A
9,CR2A
8,CR2A
10,CR2A
16,CR2A
12,CR2A
13,CR2A
6,CR2A
10,CR2A
11,CR2A
12,CR2A
8,CR2A
9,CR2A
14,CR2A
17,CR2A
12,CR2A
12,CR2A
11,CR2A
12,CR2A
11,CR2A
8,CR2A
114,CR7A
92,CR7A
58,CR7A
128,CR7A
78,CR7A
103,CR7A
100,CR7A
77,CR7A
105,CR7A
97,CR7A
118,CR7A
110,CR7A
74,CR7A
69,CR7A
141,CR7A
107,CR7A
99,CR7A
77,CR7A
101,CR7A
111,CR7A
141,CR7A
105,CR7A
70,CR7A
87,CR7A
127,CR7A
90,CR7A
68,CR7A
99,CR7A
108,CR7A
123,CR7A
119,CR7A
97,CR7A
117,CR7A
113,CR7A
93,CR7A
87,CR7A
80,CR7A
94,CR7A
233,CR7A
80,CR7A
84,CR7A
106,CR7A
93,CR7A
93,CR7A
118,CR7A
121,CR7A
94,CR7A
80,CR7A
106,CR7A
125,CR7A
113,CR7A
134,CR7A
93,CR7A
111,CR7A
113,CR7A
90,CR7A
71,CR7A
68,CR7A
80,CR7A
90,CR7A
83,CR7A
86,CR7A
70,CR7A
63,CR7A
118,CR7A
101,CR7A
91,CR7A
85,CR7A
89,CR7A
76,CR7A
81,CR7A
97,CR7A
59,CR7A
165,CR7A
82,CR7A
88,CR7A
112,CR7A
90,CR7A
96,CR7A
72,CR7A
173,CR7A
101,CR7A
106,CR7A
84,CR7A
103,CR7A
92,CR7A
103,CR7A
96,CR7A
67,CR7A
125,CR7A
95,CR7A
91,CR7A
78,CR7A
80,CR7A
122,CR7A
76,CR7A
88,CR7A
83,CR7A
190,CR7A
139,CR7A
101,CR7A
67,CR7A
96,CR7A
125,CR7A
104,CR7A
108,CR7A
88,CR7A
121,CR7A
99,CR7A
71,CR7A
105,CR7A
70,CR7A
77,CR7A
527,CR7A
82,CR7A
85,CR7A
91,CR7A
117,CR7A
71,CR7A
84,CR7A
77,CR7A
67,CR7A
74,CR7A
69,CR7A
106,CR7A
90,CR7A
91,CR7A
102,CR7A
66,CR7A
61,CR7A
87,CR7A
149,CR7A
96,CR7A
100,CR7A
72,CR7A
112,CR7A
92,CR7A
113,CR7A
79,CR7A
69,CR7A
75,CR7A
89,CR7A
108,CR7A
71,CR7A
77,CR7A
78,CR7A
67,CR7A
64,CR7A
99,CR7A
77,CR7A
71,CR7A
108,CR7A
64,CR7A
87,CR7A
76,CR7A
98,CR7A
111,CR7A
162,CR7A
96,CR7A
60,CR7A
117,CR7A
