time,crd
67,CR2A
33,CR2A
36,CR2A
52,CR2A
47,CR2A
33,CR2A
27,CR2A
51,CR2A
36,CR2A
50,CR2A
51,CR2A
66,CR2A
41,CR2A
61,CR2A
44,CR2A
52,CR2A
72,CR2A
71,CR2A
48,CR2A
51,CR2A
55,CR2A
43,CR2A
60,CR2A
102,CR2A
36,CR2A
60,CR2A
54,CR2A
46,CR2A
73,CR2A
31,CR2A
59,CR2A
55,CR2A
43,CR2A
47,CR2A
62,CR2A
50,CR2A
104,CR2A
38,CR2A
45,CR2A
31,CR2A
49,CR2A
35,CR2A
31,CR2A
60,CR2A
34,CR2A
58,CR2A
33,CR2A
33,CR2A
80,CR2A
28,CR2A
98,CR2A
30,CR2A
51,CR2A
51,CR2A
50,CR2A
36,CR2A
52,CR2A
46,CR2A
83,CR2A
83,CR2A
48,CR2A
46,CR2A
75,CR2A
34,CR2A
46,CR2A
47,CR2A
83,CR2A
47,CR2A
57,CR2A
75,CR2A
52,CR2A
58,CR2A
76,CR2A
50,CR2A
51,CR2A
51,CR2A
55,CR2A
57,CR2A
38,CR2A
69,CR2A
33,CR2A
54,CR2A
49,CR2A
31,CR2A
80,CR2A
65,CR2A
51,CR2A
57,CR2A
60,CR2A
58,CR2A
49,CR2A
46,CR2A
46,CR2A
59,CR2A
38,CR2A
44,CR2A
60,CR2A
40,CR2A
35,CR2A
55,CR2A
49,CR2A
56,CR2A
55,CR2A
45,CR2A
68,CR2A
41,CR2A
27,CR2A
69,CR2A
69,CR2A
60,CR2A
65,CR2A
48,CR2A
75,CR2A
66,CR2A
60,CR2A
43,CR2A
79,CR2A
43,CR2A
49,CR2A
52,CR2A
32,CR2A
43,CR2A
49,CR2A
75,CR2A
43,CR2A
43,CR2A
54,CR2A
58,CR2A
48,CR2A
52,CR2A
68,CR2A
56,CR2A
46,CR2A
56,CR2A
44,CR2A
42,CR2A
173,CR2A
59,CR2A
59,CR2A
63,CR2A
55,CR2A
44,CR2A
51,CR2A
45,CR2A
46,CR2A
51,CR2A
43,CR2A
45,CR2A
49,CR2A
46,CR2A
36,CR2A
42,CR2A
51,CR2A
47,CR2A
51,CR2A
83,CR2A
39,CR2A
75,CR2A
47,CR2A
54,CR2A
63,CR2A
56,CR2A
57,CR2A
61,CR2A
43,CR2A
32,CR2A
30,CR2A
106,CR2A
53,CR2A
73,CR2A
41,CR2A
83,CR2A
111,CR2A
64,CR2A
47,CR2A
38,CR2A
25,CR2A
44,CR2A
54,CR2A
32,CR2A
46,CR2A
32,CR2A
58,CR2A
52,CR2A
176,CR2A
44,CR2A
94,CR2A
27,CR2A
38,CR2A
38,CR2A
48,CR2A
47,CR2A
53,CR2A
32,CR2A
545,CR2A
76,CR2A
59,CR2A
56,CR2A
49,CR2A
29,CR2A
59,CR2A
58,CR2A
48,CR2A
30,CR2A
50,CR2A
80,CR2A
59,CR2A
57,CR2A
37,CR2A
31,CR2A
74,CR2A
45,CR2A
49,CR2A
51,CR2A
43,CR2A
30,CR2A
72,CR2A
57,CR2A
59,CR2A
70,CR2A
27,CR2A
51,CR2A
33,CR2A
51,CR2A
49,CR2A
54,CR2A
38,CR2A
33,CR2A
59,CR2A
29,CR2A
32,CR2A
44,CR2A
57,CR2A
51,CR2A
54,CR2A
44,CR2A
50,CR2A
59,CR2A
44,CR2A
41,CR2A
37,CR2A
59,CR2A
33,CR2A
64,CR2A
35,CR2A
30,CR2A
5723,CR2A
52,CR2A
52,CR2A
45,CR2A
47,CR2A
45,CR2A
45,CR2A
56,CR2A
47,CR2A
47,CR2A
49,CR2A
49,CR2A
70,CR2A
69,CR2A
81,CR2A
49,CR2A
41,CR2A
64,CR2A
31,CR2A
53,CR2A
32,CR2A
44,CR2A
51,CR2A
68,CR2A
39,CR2A
49,CR2A
53,CR2A
46,CR2A
53,CR2A
42,CR2A
45,CR2A
44,CR2A
53,CR2A
49,CR2A
65,CR2A
71,CR2A
53,CR2A
44,CR2A
48,CR2A
47,CR2A
51,CR2A
54,CR2A
59,CR2A
44,CR2A
47,CR2A
49,CR2A
32,CR2A
46,CR2A
48,CR2A
33,CR2A
46,CR2A
39,CR2A
69,CR2A
68,CR2A
50,CR2A
94,CR2A
48,CR2A
43,CR2A
61,CR2A
48,CR2A
70,CR2A
36,CR2A
30,CR2A
146,CR2A
63,CR2A
57,CR2A
44,CR2A
56,CR2A
45,CR2A
58,CR2A
43,CR2A
52,CR2A
46,CR2A
29,CR2A
28,CR2A
50,CR2A
59,CR2A
59,CR2A
33,CR2A
44,CR2A
116,CR2A
64,CR2A
31,CR2A
42,CR2A
35,CR2A
27,CR2A
31,CR2A
29,CR2A
34,CR2A
40,CR2A
40,CR2A
31,CR2A
56,CR2A
43,CR2A
32,CR2A
40,CR2A
37,CR2A
48,CR2A
36,CR2A
42,CR2A
54,CR2A
50,CR2A
57,CR2A
29,CR2A
36,CR2A
62,CR2A
52,CR2A
45,CR2A
32,CR2A
49,CR2A
58,CR2A
47,CR2A
45,CR2A
39,CR2A
52,CR2A
30,CR2A
67,CR2A
47,CR2A
39,CR2A
81,CR2A
59,CR2A
47,CR2A
47,CR2A
66,CR2A
48,CR2A
36,CR2A
57,CR2A
63,CR2A
57,CR2A
58,CR2B
50,CR2B
35,CR2B
48,CR2B
73,CR2B
58,CR2B
27,CR2B
45,CR2B
57,CR2B
51,CR2B
26,CR2B
34,CR2B
106,CR2B
64,CR2B
48,CR2B
28,CR2B
38,CR2B
65,CR2B
32,CR2B
32,CR2B
81,CR2B
32,CR2B
52,CR2B
59,CR2B
49,CR2B
64,CR2B
69,CR2B
56,CR2B
54,CR2B
84,CR2B
60,CR2B
61,CR2B
42,CR2B
47,CR2B
45,CR2B
48,CR2B
33,CR2B
27,CR2B
31,CR2B
52,CR2B
67,CR2B
70,CR2B
55,CR2B
33,CR2B
30,CR2B
28,CR2B
54,CR2B
56,CR2B
47,CR2B
44,CR2B
31,CR2B
30,CR2B
27,CR2B
46,CR2B
50,CR2B
49,CR2B
36,CR2B
69,CR2B
36,CR2B
42,CR2B
61,CR2B
27,CR2B
35,CR2B
29,CR2B
32,CR2B
40,CR2B
40,CR2B
49,CR2B
62,CR2B
32,CR2B
62,CR2B
34,CR2B
44,CR2B
31,CR2B
46,CR2B
34,CR2B
28,CR2B
47,CR2B
44,CR2B
42,CR2B
49,CR2B
54,CR2B
41,CR2B
54,CR2B
62,CR2B
55,CR2B
39,CR2B
44,CR2B
42,CR2B
66,CR2B
47,CR2B
62,CR2B
39,CR2B
71,CR2B
64,CR2B
48,CR2B
77,CR2B
80,CR2B
66,CR2B
38,CR2B
47,CR2B
47,CR2B
40,CR2B
31,CR2B
35,CR2B
51,CR2B
45,CR2B
51,CR2B
36,CR2B
48,CR2B
51,CR2B
41,CR2B
55,CR2B
53,CR2B
59,CR2B
58,CR2B
50,CR2B
47,CR2B
71,CR2B
56,CR2B
65,CR2B
28,CR2B
49,CR2B
57,CR2B
49,CR2B
68,CR2B
31,CR2B
70,CR2B
60,CR2B
45,CR2B
47,CR2B
45,CR2B
31,CR2B
63,CR2B
48,CR2B
54,CR2B
45,CR2B
53,CR2B
36,CR2B
42,CR2B
49,CR2B
58,CR2B
47,CR2B
59,CR2B
59,CR2B
52,CR2B
52,CR2B
61,CR2B
51,CR2B
51,CR2B
63,CR2B
65,CR2B
49,CR2B
74,CR2B
1484,CR2B
48,CR2B
58,CR2B
51,CR2B
39,CR2B
46,CR2B
49,CR2B
70,CR2B
62,CR2B
34,CR2B
48,CR2B
49,CR2B
33,CR2B
26,CR2B
44,CR2B
40,CR2B
71,CR2B
46,CR2B
37,CR2B
44,CR2B
49,CR2B
50,CR2B
40,CR2B
55,CR2B
55,CR2B
45,CR2B
38,CR2B
59,CR2B
37,CR2B
31,CR2B
43,CR2B
53,CR2B
49,CR2B
50,CR2B
48,CR2B
36,CR2B
53,CR2B
44,CR2B
47,CR2B
46,CR2B
