idsmodels,number_of_incon,avg_repairs,std_repair,avg_over,std_over,avg_conflicting,std_conflicting,avg_shared_locations,std_shared_locations
8,20,51.00,0,50.00,0,51.00,0,7.00,0
8,21,51.00,0,50.00,0,51.00,0,6.00,0
8,22,51.00,0,50.00,0,51.00,0,5.00,0
8,23,51.00,0,50.00,0,51.00,0,4.00,0
8,24,51.00,0,50.00,0,51.00,0,3.00,0
8,25,51.00,0,50.00,0,51.00,0,2.00,0
8,26,51.00,0,50.00,0,51.00,0,1.00,0
10,2,37.68,81.75,7.47,6.42,17.42,41.32,16.89,41.03
10,3,251.39,97.19,12.90,18.17,131.03,38.72,122.58,47.8
10,4,251.39,97.19,14.52,17.38,131.84,39.11,121.58,47.8
10,5,251.39,97.19,16.13,16.59,132.65,39.51,120.58,47.8
10,6,251.39,97.19,17.74,15.8,133.45,39.9,119.58,47.8
10,7,251.39,97.19,19.35,15.01,134.26,40.3,118.58,47.8
10,8,53.00,0,50.00,0,52.00,0,20.00,0
10,9,53.00,0,50.00,0,52.00,0,19.00,0
10,10,53.00,0,50.00,0,52.00,0,18.00,0
10,11,53.00,0,50.00,0,52.00,0,17.00,0
10,12,53.00,0,50.00,0,52.00,0,16.00,0
10,13,53.00,0,50.00,0,52.00,0,15.00,0
10,14,53.00,0,50.00,0,52.00,0,14.00,0
10,15,53.00,0,50.00,0,52.00,0,13.00,0
10,16,53.00,0,50.00,0,52.00,0,12.00,0
10,17,53.00,0,50.00,0,52.00,0,11.00,0
10,18,53.00,0,50.00,0,52.00,0,10.00,0
10,19,53.00,0,50.00,0,52.00,0,9.00,0
10,20,53.00,0,50.00,0,52.00,0,8.00,0
10,21,53.00,0,50.00,0,52.00,0,7.00,0
10,22,53.00,0,50.00,0,52.00,0,6.00,0
10,23,53.00,0,50.00,0,52.00,0,5.00,0
10,24,53.00,0,50.00,0,52.00,0,4.00,0
10,25,53.00,0,50.00,0,52.00,0,3.00,0
10,26,53.00,0,50.00,0,52.00,0,2.00,0
11,2,22.31,31.23,8.80,7.18,8.90,13.26,7.54,11.41
11,3,78.41,52.02,19.89,13.87,40.35,8.42,28.41,15.36
11,4,78.41,52.02,20.76,12.88,40.78,8.92,27.41,15.36
11,5,78.41,52.02,21.62,11.89,41.22,9.41,26.41,15.36
11,6,78.41,52.02,22.49,10.9,41.65,9.91,25.41,15.36
11,7,78.41,52.02,23.35,9.91,42.08,10.4,24.41,15.36
11,8,78.41,52.02,24.22,8.92,42.51,10.9,23.41,15.36
11,9,78.41,52.02,25.08,7.93,42.95,11.39,22.41,15.36
11,10,78.41,52.02,25.95,6.94,43.38,11.89,21.41,15.36
11,11,78.41,52.02,26.81,5.94,43.81,12.39,20.41,15.36
11,12,78.41,52.02,27.68,4.95,44.24,12.88,19.41,15.36
11,13,78.41,52.02,28.54,3.96,44.68,13.38,18.41,15.36
11,14,78.41,52.02,29.41,2.97,45.11,13.87,17.41,15.36
11,15,78.41,52.02,30.27,1.98,45.54,14.37,16.41,15.36
11,16,78.41,52.02,31.14,0.99,45.97,14.86,15.41,15.36
11,17,78.41,52.02,32.00,0,46.41,15.36,14.41,15.36
11,18,138.00,0,34.00,0,65.00,0,31.00,0
11,19,138.00,0,36.00,0,66.00,0,30.00,0
11,20,138.00,0,38.00,0,67.00,0,29.00,0
11,21,138.00,0,40.00,0,68.00,0,28.00,0
11,22,138.00,0,42.00,0,69.00,0,27.00,0
13,2,21.68,45.61,6.89,0.93,7.98,19.82,7.75,19.83
13,3,102.45,123.63,6.55,1.92,47.91,51.47,42.64,52.43
13,4,102.45,123.63,7.27,0.96,48.27,51.95,41.64,52.43
13,5,102.45,123.63,8.00,0,48.64,52.43,40.64,52.43
13,6,266.00,0,10.00,0,119.00,0,109.00,0
13,7,266.00,0,12.00,0,120.00,0,108.00,0
13,8,266.00,0,14.00,0,121.00,0,107.00,0
15,2,22.38,19.17,7.00,0,9.19,9.58,9.19,9.58
17,2,395.67,58.45,3.88,10.63,197.85,23.48,196.88,28.97
17,3,65.00,0,64.00,0,65.00,0,31.00,0
17,4,65.00,0,64.00,0,65.00,0,30.00,0
17,5,65.00,0,64.00,0,65.00,0,29.00,0
17,6,65.00,0,64.00,0,65.00,0,28.00,0
17,7,65.00,0,64.00,0,65.00,0,27.00,0
17,8,65.00,0,64.00,0,65.00,0,26.00,0
17,9,65.00,0,64.00,0,65.00,0,25.00,0
17,10,65.00,0,64.00,0,65.00,0,24.00,0
17,11,65.00,0,64.00,0,65.00,0,23.00,0
17,12,65.00,0,64.00,0,65.00,0,22.00,0
17,13,65.00,0,64.00,0,65.00,0,21.00,0
17,14,65.00,0,64.00,0,65.00,0,20.00,0
17,15,65.00,0,64.00,0,65.00,0,19.00,0
17,16,65.00,0,64.00,0,65.00,0,18.00,0
17,17,65.00,0,64.00,0,65.00,0,17.00,0
17,18,65.00,0,64.00,0,65.00,0,16.00,0
17,19,65.00,0,64.00,0,65.00,0,15.00,0
17,20,65.00,0,64.00,0,65.00,0,14.00,0
17,21,65.00,0,64.00,0,65.00,0,13.00,0
17,22,65.00,0,64.00,0,65.00,0,12.00,0
17,23,65.00,0,64.00,0,65.00,0,11.00,0
17,24,65.00,0,64.00,0,65.00,0,10.00,0
17,25,65.00,0,64.00,0,65.00,0,9.00,0
17,26,65.00,0,64.00,0,65.00,0,8.00,0
17,27,65.00,0,64.00,0,65.00,0,7.00,0
17,28,65.00,0,64.00,0,65.00,0,6.00,0
17,29,65.00,0,64.00,0,65.00,0,5.00,0
17,30,65.00,0,64.00,0,65.00,0,4.00,0
17,31,65.00,0,64.00,0,65.00,0,3.00,0
17,32,65.00,0,64.00,0,65.00,0,2.00,0
17,33,65.00,0,64.00,0,65.00,0,1.00,0
19,2,36.96,59.57,10.36,10.56,19.27,31.17,16.90,30.13
19,3,117.64,82.12,22.62,16.92,69.95,31.85,56.64,40.32
19,4,117.64,82.12,23.52,15.93,70.40,32.35,55.64,40.32
19,5,117.64,82.12,24.43,14.93,70.86,32.85,54.64,40.32
19,6,117.64,82.12,25.33,13.94,71.31,33.35,53.64,40.32
19,7,117.64,82.12,26.24,12.94,71.76,33.85,52.64,40.32
19,8,117.64,82.12,27.14,11.95,72.21,34.34,51.64,40.32
19,9,117.64,82.12,28.05,10.95,72.67,34.84,50.64,40.32
19,10,117.64,82.12,28.95,9.95,73.12,35.34,49.64,40.32
19,11,117.64,82.12,29.86,8.96,73.57,35.84,48.64,40.32
19,12,117.64,82.12,30.76,7.96,74.02,36.33,47.64,40.32
19,13,117.64,82.12,31.67,6.97,74.48,36.83,46.64,40.32
19,14,117.64,82.12,32.57,5.97,74.93,37.33,45.64,40.32
19,15,117.64,82.12,33.48,4.98,75.38,37.83,44.64,40.32
19,16,117.64,82.12,34.38,3.98,75.83,38.32,43.64,40.32
19,17,117.64,82.12,35.29,2.99,76.29,38.82,42.64,40.32
19,18,117.64,82.12,36.19,1.99,76.74,39.32,41.64,40.32
19,19,117.64,82.12,37.10,1,77.19,39.82,40.64,40.32
19,20,117.64,82.12,38.00,0,77.64,40.32,39.64,40.32
19,21,208.00,0,40.00,0,123.00,0,83.00,0
19,22,208.00,0,42.00,0,124.00,0,82.00,0
19,23,208.00,0,44.00,0,125.00,0,81.00,0
19,24,208.00,0,46.00,0,126.00,0,80.00,0
20,2,26.07,40.27,7.67,4.41,11.58,19.55,10.92,19.23
20,3,109.88,76.23,13.54,11.46,58.42,28.9,50.46,35.38
20,4,109.88,76.23,14.08,10.96,58.96,29.4,50.00,35.87
20,5,109.88,76.23,14.63,10.46,59.50,29.9,49.54,36.37
20,6,109.88,76.23,15.17,9.97,60.04,30.39,49.08,36.87
20,7,109.88,76.23,15.71,9.47,60.58,30.89,48.63,37.37
20,8,109.88,76.23,16.25,8.97,61.13,31.39,48.17,37.87
20,9,109.88,76.23,16.79,8.47,61.67,31.89,47.71,38.37
20,10,109.88,76.23,17.33,7.97,62.21,32.39,47.25,38.86
20,11,109.88,76.23,17.88,7.47,62.75,32.89,46.79,39.36
20,12,109.88,76.23,18.42,6.98,63.29,33.38,46.33,39.86
20,13,27.00,0,26.00,0,27.00,0,2.00,0
20,14,27.00,0,26.00,0,27.00,0,1.00,0
21,2,23.51,21.38,7.23,2.43,9.54,10.17,9.09,10
21,3,59.00,42,9.50,6.5,31.00,14,25.00,18
21,4,59.00,42,10.00,6,31.50,14.5,24.50,18.5
21,5,59.00,42,10.50,5.5,32.00,15,24.00,19
21,6,59.00,42,11.00,5,32.50,15.5,23.50,19.5
21,7,59.00,42,11.50,4.5,33.00,16,23.00,20
21,8,59.00,42,12.00,4,33.50,16.5,22.50,20.5
21,9,59.00,42,12.50,3.5,34.00,17,22.00,21
22,2,12.84,10.91,6.57,1.16,4.64,4.44,4.44,4.46
22,3,16.87,30.25,4.00,0,9.53,11.56,5.53,11.56
22,4,94.00,0,6.00,0,40.00,0,34.00,0
22,5,94.00,0,8.00,0,41.00,0,33.00,0
22,6,94.00,0,10.00,0,42.00,0,32.00,0
22,7,94.00,0,12.00,0,43.00,0,31.00,0
22,8,94.00,0,14.00,0,44.00,0,30.00,0
22,9,94.00,0,15.00,0,45.00,0,30.00,0
22,10,94.00,0,17.00,0,46.00,0,29.00,0
22,11,94.00,0,18.00,0,47.00,0,29.00,0
22,12,94.00,0,19.00,0,48.00,0,29.00,0
22,13,94.00,0,21.00,0,49.00,0,28.00,0
22,14,94.00,0,23.00,0,50.00,0,27.00,0
23,2,29.31,16.36,1.77,2.19,14.92,8.26,14.86,8.29
23,3,30.00,15,9.00,5,20.00,5,13.50,7.5
23,4,30.00,15,10.00,4,20.50,5.5,12.50,7.5
23,5,30.00,15,11.00,3,21.00,6,11.50,7.5
23,6,30.00,15,12.00,2,21.50,6.5,10.50,7.5
23,7,30.00,15,13.00,1,22.00,7,9.50,7.5
23,8,30.00,15,14.00,0,22.50,7.5,8.50,7.5
24,2,9.59,1.99,5.78,2.42,2.85,1.04,2.85,1.04
24,3,9.00,1.41,5.00,2.83,2.67,0.94,2.67,0.94
26,2,26.53,27.01,2.18,2.38,12.87,13.31,12.87,13.31
27,2,30.50,29.5,1.00,0,14.00,13,14.00,13
29,2,16.42,15.08,2.02,2.25,7.88,7.2,7.88,7.2
30,2,29.00,28,1.00,0,14.50,13.5,14.50,13.5
31,2,15.10,13.64,2.29,2.47,7.12,6.46,7.12,6.46
33,2,11.00,10,1.00,0,5.50,4.5,5.50,4.5
35,2,17.80,16.6,2.20,2.4,8.50,8.03,8.50,8.03
37,2,43.45,45.53,1.76,2,20.58,21.53,20.58,21.53
38,2,19.27,13.24,2.26,2.4,9.69,6.96,9.63,7
38,3,23.80,13.72,4.80,0.98,14.80,6.37,10.40,6.86
38,4,7.00,0,6.00,0,7.00,0,1.00,0
40,2,12.88,11.51,1.54,1.71,6.26,5.33,6.26,5.33
41,2,13.17,12.01,5.67,1.97,5.67,6.57,5.33,6.6
41,3,23.50,16.5,3.50,0.5,13.50,7.5,10.50,8.5
42,2,3.00,2,1.00,0,1.50,0.5,1.50,0.5
47,2,6.76,5.03,1.96,2.2,3.06,1.92,3.06,1.92
