time,size,type
12.2352,2636,1
15.2599,2093,1
19.8176,2796,1
27.9564,1261,1
27.7246,621,1
19.1410,1979,1
14.5209,1100,1
11.9372,8771,1
32.3571,448,1
20.8907,1464,1
16.0921,1064,1
15.1250,2048,1
42.6199,292,1
43.0675,385,1
18.1044,9853,1
9.7200,1257,1
6.7464,3009,1
18.4747,1540,1
53.0735,204,1
21.3936,1466,1
7.1264,15619,1
105.4366,71,1
13.4933,11419,1
12.2865,5857,1
6.9896,12055,1
12.9000,51169,1
10.5262,63098,1
9.5588,92820,1
