repairs,size,percentage_owned
1.1419,12055,100
2.2667,51169,100
1.1476,92820,100
0.8483,92820,750
0.2603,92820,250
0.6066,92820,500
0.7129,12055,500
0.9201,12055,750
0.3254,12055,250
0.8771,51169,750
0.6303,51169,500
0.2858,51169,250
0.9230,63098,750
0.2859,63098,250
0.6315,63098,500
1.2495,63098,100
