repairs,size,percentage_owned
1400,12055,100
19045,51169,100
13657,92820,100
10095,92820,750
3097,92820,250
7219,92820,500
874,12055,500
1128,12055,750
399,12055,250
7369,51169,750
5296,51169,500
2401,51169,250
6667,63098,750
2065,63098,250
4561,63098,500
9025,63098,100
