repair_generation_time,system_name,size
390,ApoSnake,6322
397,ApoSnake,6322
428,ApoSnake,6322
310,ApoSnake,6322
232,ApoSnake,6322
258,ApoSnake,6322
1148,ApoSnake,6322
258,ApoSnake,6322
215,ApoSnake,6322
125,ApoSnake,6322
298,ApoSnake,6322
169,ApoSnake,6322
322,ApoSnake,6322
294,ApoSnake,6322
157,ApoSnake,6322
452,ApoSnake,6322
318,ApoSnake,6322
227,ApoSnake,6322
324,ApoSnake,6322
749,ApoSnake,6322
1063,ApoSnake,6322
7934,BitsEngineAndroid,20974
358,BitsEngineAndroid,20974
414,BitsEngineAndroid,20974
819,BitsEngineAndroid,20974
290,BitsEngineAndroid,20974
181,BitsEngineAndroid,20974
294,BitsEngineAndroid,20974
360,BitsEngineAndroid,20974
274,BitsEngineAndroid,20974
291,BitsEngineAndroid,20974
701,BitsEngineAndroid,20974
1987,BitsEngineAndroid,20974
696,BitsEngineAndroid,20974
339,BitsEngineAndroid,20974
656,BitsEngineAndroid,20974
1436,BitsEngineAndroid,20974
323,BitsEngineAndroid,20974
322,BitsEngineAndroid,20974
595,BitsEngineAndroid,20974
277,BitsEngineAndroid,20974
624,BitsEngineAndroid,20974
218,BitsEngineAndroid,20974
227,BitsEngineAndroid,20974
778,BitsEngineAndroid,20974
302,BitsEngineAndroid,20974
362,BitsEngineAndroid,20974
273,BitsEngineAndroid,20974
225,BitsEngineAndroid,20974
292,BitsEngineAndroid,20974
205,BitsEngineAndroid,20974
281,BitsEngineAndroid,20974
297,BitsEngineAndroid,20974
192,BitsEngineAndroid,20974
126,BitsEngineAndroid,20974
171,BitsEngineAndroid,20974
161,BitsEngineAndroid,20974
129,BitsEngineAndroid,20974
206,BitsEngineAndroid,20974
285,BitsEngineAndroid,20974
121,BitsEngineAndroid,20974
124,BitsEngineAndroid,20974
109,BitsEngineAndroid,20974
115,BitsEngineAndroid,20974
147,BitsEngineAndroid,20974
228,BitsEngineAndroid,20974
211,BitsEngineAndroid,20974
192,BitsEngineAndroid,20974
230,BitsEngineAndroid,20974
160,BitsEngineAndroid,20974
233,BitsEngineAndroid,20974
297,BitsEngineAndroid,20974
122,BitsEngineAndroid,20974
168,BitsEngineAndroid,20974
128,BitsEngineAndroid,20974
491,BitsEngineAndroid,20974
175,BitsEngineAndroid,20974
177,BitsEngineAndroid,20974
305,BitsEngineAndroid,20974
920,BitsEngineAndroid,20974
1080,BitsEngineAndroid,20974
174,BitsEngineAndroid,20974
335,BitsEngineAndroid,20974
199,BitsEngineAndroid,20974
161,BitsEngineAndroid,20974
143,BitsEngineAndroid,20974
92,BitsEngineAndroid,20974
100,BitsEngineAndroid,20974
95,BitsEngineAndroid,20974
101,BitsEngineAndroid,20974
120,BitsEngineAndroid,20974
85,BitsEngineAndroid,20974
85,BitsEngineAndroid,20974
108,BitsEngineAndroid,20974
115,BitsEngineAndroid,20974
163,BitsEngineAndroid,20974
215,BitsEngineAndroid,20974
108,BitsEngineAndroid,20974
159,BitsEngineAndroid,20974
133,BitsEngineAndroid,20974
100,BitsEngineAndroid,20974
335,BitsEngineAndroid,20974
183,BitsEngineAndroid,20974
146,BitsEngineAndroid,20974
785,BitsEngineAndroid,20974
107,BitsEngineAndroid,20974
157,BitsEngineAndroid,20974
153,BitsEngineAndroid,20974
197,BitsEngineAndroid,20974
139,BitsEngineAndroid,20974
464,BitsEngineAndroid,20974
193,BitsEngineAndroid,20974
159,BitsEngineAndroid,20974
141,BitsEngineAndroid,20974
196,BitsEngineAndroid,20974
184,BitsEngineAndroid,20974
275,BitsEngineAndroid,20974
195,BitsEngineAndroid,20974
127,BitsEngineAndroid,20974
148,BitsEngineAndroid,20974
132,BitsEngineAndroid,20974
221,BitsEngineAndroid,20974
118,BitsEngineAndroid,20974
378,BitsEngineAndroid,20974
332,BitsEngineAndroid,20974
299,BitsEngineAndroid,20974
194,BitsEngineAndroid,20974
380,BitsEngineAndroid,20974
422,BitsEngineAndroid,20974
332,BitsEngineAndroid,20974
161,BitsEngineAndroid,20974
2738,BitsEngineAndroid,20974
165,BitsEngineAndroid,20974
146,BitsEngineAndroid,20974
131,BitsEngineAndroid,20974
139,BitsEngineAndroid,20974
126,BitsEngineAndroid,20974
181,BitsEngineAndroid,20974
248,BitsEngineAndroid,20974
580,BitsEngineAndroid,20974
524,BitsEngineAndroid,20974
539,BitsEngineAndroid,20974
298,BitsEngineAndroid,20974
183,BitsEngineAndroid,20974
270,BitsEngineAndroid,20974
177,BitsEngineAndroid,20974
199,BitsEngineAndroid,20974
120,BitsEngineAndroid,20974
234,BitsEngineAndroid,20974
129,BitsEngineAndroid,20974
192,BitsEngineAndroid,20974
160,BitsEngineAndroid,20974
390,BitsEngineAndroid,20974
206,BitsEngineAndroid,20974
182,BitsEngineAndroid,20974
100,BitsEngineAndroid,20974
209,BitsEngineAndroid,20974
357,BitsEngineAndroid,20974
98,BitsEngineAndroid,20974
288,BitsEngineAndroid,20974
187,BitsEngineAndroid,20974
136,BitsEngineAndroid,20974
125,BitsEngineAndroid,20974
128,BitsEngineAndroid,20974
120,BitsEngineAndroid,20974
119,BitsEngineAndroid,20974
9269,myTreasureAndroid,9410
474,myTreasureAndroid,9410
2432,myTreasureAndroid,9410
626,myTreasureAndroid,9410
417,myTreasureAndroid,9410
734,myTreasureAndroid,9410
382,myTreasureAndroid,9410
1317,myTreasureAndroid,9410
255,myTreasureAndroid,9410
356,myTreasureAndroid,9410
663,myTreasureAndroid,9410
402,myTreasureAndroid,9410
1270,myTreasureAndroid,9410
355,myTreasureAndroid,9410
564,myTreasureAndroid,9410
564,myTreasureAndroid,9410
821,myTreasureAndroid,9410
406,myTreasureAndroid,9410
346,myTreasureAndroid,9410
4237,myTreasureAndroid,9410
301,myTreasureAndroid,9410
227,myTreasureAndroid,9410
130,myTreasureAndroid,9410
221,myTreasureAndroid,9410
220,myTreasureAndroid,9410
192,myTreasureAndroid,9410
156,myTreasureAndroid,9410
259,myTreasureAndroid,9410
183,myTreasureAndroid,9410
442,myTreasureAndroid,9410
8041,ApoSlitherLink,15571
649,ApoSlitherLink,15571
327,ApoSlitherLink,15571
723,ApoSlitherLink,15571
196,ApoSlitherLink,15571
1117,ApoSlitherLink,15571
647,ApoSlitherLink,15571
179,ApoSlitherLink,15571
518,ApoSlitherLink,15571
834,ApoSlitherLink,15571
181,ApoSlitherLink,15571
262,ApoSlitherLink,15571
294,ApoSlitherLink,15571
344,ApoSlitherLink,15571
216,ApoSlitherLink,15571
302,ApoSlitherLink,15571
382,ApoSlitherLink,15571
626,ApoSlitherLink,15571
268,ApoSlitherLink,15571
149,ApoSlitherLink,15571
298,ApoSlitherLink,15571
243,ApoSlitherLink,15571
239,ApoSlitherLink,15571
259,ApoSlitherLink,15571
180,ApoSlitherLink,15571
211,ApoSlitherLink,15571
300,ApoSlitherLink,15571
321,ApoSlitherLink,15571
146,ApoSlitherLink,15571
784,ApoSlitherLink,15571
171,ApoSlitherLink,15571
657,ApoSlitherLink,15571
386,ApoSlitherLink,15571
799,ApoSlitherLink,15571
223,ApoSlitherLink,15571
210,ApoSlitherLink,15571
140,ApoSlitherLink,15571
138,ApoSlitherLink,15571
120,ApoSlitherLink,15571
98,ApoSlitherLink,15571
111,ApoSlitherLink,15571
167,ApoSlitherLink,15571
74,ApoSlitherLink,15571
163,ApoSlitherLink,15571
220,ApoSlitherLink,15571
521,ApoSlitherLink,15571
183,ApoSlitherLink,15571
143,ApoSlitherLink,15571
143,ApoSlitherLink,15571
159,ApoSlitherLink,15571
138,ApoSlitherLink,15571
159,ApoSlitherLink,15571
162,ApoSlitherLink,15571
143,ApoSlitherLink,15571
97,ApoSlitherLink,15571
88,ApoSlitherLink,15571
130,ApoSlitherLink,15571
370,ApoSlitherLink,15571
247,ApoSlitherLink,15571
