metric,score,count,group
1,1,3,All
1,2,12,All
1,3,8,All
1,4,1,All
1,5,0,All
2,1,0,All
2,2,3,All
2,3,10,All
2,4,10,All
2,5,1,All
3,1,0,All
3,2,2,All
3,3,1,All
3,4,9,All
3,5,12,All
4,1,2,All
4,2,6,All
4,3,14,All
4,4,2,All
4,5,0,All
1,1,2,G1
1,2,0,G1
1,3,3,G1
1,4,4,G1
1,5,4,G1
2,1,4,G1
2,2,0,G1
2,3,4,G1
2,4,0,G1
2,5,20,G1
3,1,2,G1
3,2,2,G1
3,3,0,G1
3,4,5,G1
3,5,3,G1
4,1,3,G1
4,2,3,G1
4,3,3,G1
4,4,5,G1
4,5,0,G1
