time,model_name,size
11,S1,10364
14,S1,10364
11,S1,10364
14,S1,10364
27,S1,10364
10,S1,10364
16,S1,10364
18,S1,10364
21,S1,10364
10,S1,10364
16,S1,10364
15,S1,10364
13,S1,10364
17,S1,10364
12,S1,10364
11,S1,10364
12,S1,10364
21,S1,10364
12,S1,10364
7,S1,10364
28,S1,10364
21,S1,10364
26,S1,10364
17,S1,10364
10,S1,10364
13,S1,10364
18,S1,10364
16,S1,10364
18,S1,10364
22,S1,10364
18,S1,10364
17,S1,10364
17,S1,10364
15,S1,10364
17,S1,10364
16,S1,10364
16,S1,10364
11,S1,10364
16,S1,10364
15,S1,10364
17,S1,10364
19,S1,10364
19,S1,10364
15,S1,10364
13,S1,10364
19,S1,10364
11,S1,10364
13,S1,10364
8,S1,10364
12,S1,10364
8,S1,10364
10,S1,10364
7,S1,10364
10,S1,10364
15,S1,10364
12,S1,10364
11,S1,10364
12,S1,10364
12,S1,10364
12,S1,10364
8,S1,10364
12,S1,10364
12,S1,10364
8,S1,10364
13,S1,10364
13,S1,10364
12,S1,10364
9,S1,10364
7,S1,10364
10,S1,10364
11,S1,10364
10,S1,10364
13,S1,10364
6,S1,10364
18,S1,10364
96,S1,10364
15,S1,10364
10,S1,10364
22,S1,10364
11,S1,10364
16,S1,10364
14,S1,10364
12,S1,10364
16,S1,10364
15,S1,10364
12,S1,10364
12,S1,10364
11,S1,10364
17,S1,10364
17,S1,10364
14,S1,10364
17,S1,10364
16,S1,10364
11,S1,10364
22,S1,10364
18,S1,10364
18,S1,10364
22,S1,10364
15,S1,10364
17,S1,10364
20,S1,10364
17,S1,10364
16,S1,10364
19,S1,10364
19,S1,10364
17,S1,10364
12,S1,10364
12,S1,10364
15,S1,10364
16,S1,10364
18,S1,10364
13,S1,10364
10,S1,10364
18,S1,10364
15,S1,10364
18,S1,10364
11,S1,10364
10,S1,10364
12,S1,10364
27,S1,10364
10,S1,10364
13,S1,10364
14,S1,10364
12,S1,10364
12,S1,10364
14,S1,10364
15,S1,10364
12,S1,10364
12,S1,10364
10,S1,10364
10,S1,10364
10,S1,10364
11,S1,10364
13,S1,10364
10,S1,10364
12,S1,10364
25,S1,10364
11,S1,10364
12,S1,10364
11,S1,10364
10,S1,10364
20,S1,10364
15,S1,10364
15,S1,10364
12,S1,10364
8,S1,10364
21,S1,10364
11,S1,10364
11,S1,10364
9,S1,10364
14,S1,10364
18,S1,10364
13,S1,10364
12,S1,10364
15,S1,10364
19,S1,10364
8,S1,10364
13,S1,10364
16,S1,10364
15,S1,10364
12,S1,10364
9,S1,10364
9,S1,10364
12,S1,10364
10,S1,10364
12,S1,10364
22,S1,10364
13,S1,10364
15,S1,10364
12,S1,10364
19,S1,10364
12,S1,10364
16,S1,10364
8,S1,10364
14,S1,10364
14,S1,10364
16,S1,10364
11,S1,10364
10,S1,10364
7,S1,10364
14,S1,10364
11,S1,10364
10,S1,10364
18,S1,10364
13,S1,10364
8,S1,10364
8,S1,10364
18,S1,10364
14,S1,10364
13,S1,10364
13,S1,10364
11,S1,10364
12,S1,10364
11,S1,10364
11,S1,10364
12,S1,10364
11,S1,10364
12,S1,10364
8,S1,10364
10,S1,10364
16,S1,10364
16,S1,10364
13,S1,10364
12,S1,10364
7,S1,10364
11,S1,10364
18,S1,10364
12,S1,10364
13,S1,10364
9,S1,10364
13,S1,10364
13,S1,10364
12,S1,10364
12,S1,10364
10,S1,10364
20,S1,10364
16,S1,10364
15,S1,10364
16,S1,10364
8,S1,10364
11,S1,10364
9,S1,10364
15,S1,10364
14,S1,10364
12,S1,10364
18,S1,10364
15,S1,10364
12,S1,10364
16,S1,10364
12,S1,10364
13,S1,10364
17,S1,10364
19,S1,10364
16,S1,10364
15,S1,10364
21,S1,10364
9,S1,10364
10,S1,10364
16,S1,10364
12,S1,10364
16,S1,10364
15,S1,10364
13,S1,10364
24,S1,10364
12,S1,10364
14,S1,10364
9,S1,10364
11,S1,10364
10,S1,10364
9,S1,10364
14,S1,10364
11,S1,10364
11,S1,10364
13,S1,10364
11,S1,10364
9,S1,10364
11,S1,10364
11,S1,10364
10,S1,10364
9,S1,10364
8,S1,10364
10,S1,10364
16,S1,10364
12,S1,10364
13,S1,10364
6,S1,10364
10,S1,10364
11,S1,10364
12,S1,10364
8,S1,10364
9,S1,10364
14,S1,10364
17,S1,10364
12,S1,10364
12,S1,10364
11,S1,10364
12,S1,10364
11,S1,10364
8,S1,10364
114,S1,10364
92,S1,10364
58,S1,10364
128,S1,10364
78,S1,10364
103,S1,10364
100,S1,10364
77,S1,10364
105,S1,10364
97,S1,10364
118,S1,10364
110,S1,10364
74,S1,10364
69,S1,10364
141,S1,10364
107,S1,10364
99,S1,10364
77,S1,10364
101,S1,10364
111,S1,10364
141,S1,10364
105,S1,10364
70,S1,10364
87,S1,10364
127,S1,10364
90,S1,10364
68,S1,10364
99,S1,10364
108,S1,10364
123,S1,10364
119,S1,10364
97,S1,10364
117,S1,10364
113,S1,10364
93,S1,10364
87,S1,10364
80,S1,10364
94,S1,10364
233,S1,10364
80,S1,10364
84,S1,10364
106,S1,10364
93,S1,10364
93,S1,10364
118,S1,10364
121,S1,10364
94,S1,10364
80,S1,10364
106,S1,10364
125,S1,10364
113,S1,10364
134,S1,10364
93,S1,10364
111,S1,10364
113,S1,10364
90,S1,10364
71,S1,10364
68,S1,10364
80,S1,10364
90,S1,10364
83,S1,10364
86,S1,10364
70,S1,10364
63,S1,10364
118,S1,10364
101,S1,10364
91,S1,10364
85,S1,10364
89,S1,10364
76,S1,10364
81,S1,10364
97,S1,10364
59,S1,10364
165,S1,10364
82,S1,10364
88,S1,10364
112,S1,10364
90,S1,10364
96,S1,10364
72,S1,10364
173,S1,10364
101,S1,10364
106,S1,10364
84,S1,10364
103,S1,10364
92,S1,10364
103,S1,10364
96,S1,10364
67,S1,10364
125,S1,10364
95,S1,10364
91,S1,10364
78,S1,10364
80,S1,10364
122,S1,10364
76,S1,10364
88,S1,10364
83,S1,10364
190,S1,10364
139,S1,10364
101,S1,10364
67,S1,10364
96,S1,10364
125,S1,10364
104,S1,10364
108,S1,10364
88,S1,10364
121,S1,10364
99,S1,10364
71,S1,10364
105,S1,10364
70,S1,10364
77,S1,10364
527,S1,10364
82,S1,10364
85,S1,10364
91,S1,10364
117,S1,10364
71,S1,10364
84,S1,10364
77,S1,10364
67,S1,10364
74,S1,10364
69,S1,10364
106,S1,10364
90,S1,10364
91,S1,10364
102,S1,10364
66,S1,10364
61,S1,10364
87,S1,10364
149,S1,10364
96,S1,10364
100,S1,10364
72,S1,10364
112,S1,10364
92,S1,10364
113,S1,10364
79,S1,10364
69,S1,10364
75,S1,10364
89,S1,10364
108,S1,10364
