task,type,Start time,End Time,Duration,time
TCex,WR,10:52:00,10:56:00,0:04:00,4
TCex,RR,10:45:00,10:48:00,0:03:00,3
TCac,WR,10:47:00,10:48:00,0:01:00,1
TCac,RR,10:59:00,11:00:00,0:01:00,1
TSta,RR,11:00:00,11:03:00,0:03:00,3
TSta,WR,11:02:00,11:04:00,0:02:00,2
TSeq,RR,10:54:00,10:58:00,0:04:00,4
TSeq,WR,10:56:00,10:59:00,0:03:00,3
TCdr,RR,10:56:00,10:59:00,0:03:00,3
TCdr,WR,11:06:00,11:10:00,0:04:00,4
TMic,RR,10:55:00,10:57:00,0:02:00,2
TMic,WR,10:58:00,11:01:00,0:03:00,3
TSta,RR,11:06:00,11:09:00,0:03:00,3
TSta,WR,10:57:00,11:00:00,0:03:00,3
TSeq,RR,10:46:00,10:48:00,0:02:00,2
TSeq,WR,10:52:00,10:54:00,0:02:00,2
TCac,RR,10:59:00,11:02:00,0:03:00,3
TCac,WR,10:56:00,10:58:00,0:02:00,2
TCex,RR,11:00:00,11:04:00,0:04:00,4
TCex,WR,11:05:00,11:09:00,0:04:00,4
TCdr,RR,11:21:00,11:22:00,0:01:00,1
TCdr,WR,10:57:00,11:02:00,0:05:00,5
TMic,RR,10:55:00,10:57:00,0:02:00,2
TMic,WR,10:48:00,10:49:00,0:01:00,1
TCac,RR,10:58:00,10:59:00,0:01:00,1
TCac,WR,10:48:00,10:50:00,0:02:00,2
TCex,RR,10:49:00,10:51:00,0:02:00,2
TCex,WR,11:01:00,11:04:00,0:03:00,3
TCno,WR,11:03:00,11:11:00,0:08:00,8
TCno,RR,11:04:00,11:08:00,0:04:00,4
TSup,WR,10:58:00,11:03:00,0:05:00,5
TSup,RR,11:00:00,11:06:00,0:06:00,6
TCno,WR,10:59:00,11:02:00,0:03:00,3
TCno,RR,11:10:00,11:13:00,0:03:00,3
TSup,WR,10:58:00,11:01:00,0:03:00,3
TSup,RR,11:01:00,11:05:00,0:04:00,4
TCno,WR,11:09:00,11:16:00,0:07:00,7
TCno,RR,11:00:00,11:04:00,0:04:00,4
TSup,WR,10:48:00,10:51:00,0:03:00,3
TSup,RR,10:54:00,10:57:00,0:03:00,3
TCno,WR,11:03:00,11:06:00,0:03:00,3
TCno,RR,10:59:00,11:02:00,0:03:00,3
TSup,WR,11:04:00,11:08:00,0:04:00,4
TSup,RR,11:10:00,11:15:00,0:05:00,5
TCno,WR,11:24:00,11:31:00,0:07:00,7
TCno,RR,11:04:00,11:08:00,0:04:00,4
TSup,WR,10:57:00,11:00:00,0:03:00,3
TSup,RR,10:49:00,10:51:00,0:02:00,2
TCno,WR,10:59:00,11:01:00,0:02:00,2
TCno,RR,10:51:00,10:53:00,0:02:00,2
TSup,WR,10:51:00,10:55:00,0:04:00,4
TSup,RR,11:05:00,11:10:00,0:05:00,5
TSup,RR,11:12:00,11:14:00,0:02:00,2
TSup,WR,11:08:00,11:11:00,0:03:00,3
TCno,RR,11:03:00,11:05:00,0:02:00,2
TCno,WR,11:04:00,11:08:00,0:04:00,4
TSup,RR,11:02:00,11:04:00,0:02:00,2
TSup,WR,11:13:00,11:17:00,0:04:00,4
TCno,RR,11:01:00,11:08:00,0:07:00,7
TCno,WR,11:05:00,11:12:00,0:07:00,7
TSup,RR,11:16:00,11:19:00,0:03:00,3
TSup,WR,11:04:00,11:07:00,0:03:00,3
TCno,RR,10:52:00,10:58:00,0:06:00,6
TCno,WR,10:57:00,10:58:00,0:01:00,1
TSup,RR,11:06:00,11:09:00,0:03:00,3
TSup,WR,11:03:00,11:08:00,0:05:00,5
TCno,RR,11:09:00,11:11:00,0:02:00,2
TCno,WR,11:16:00,11:17:00,0:01:00,1
TSup,RR,11:31:00,11:35:00,0:04:00,4
TSup,WR,11:08:00,11:14:00,0:06:00,6
TCno,RR,11:01:00,11:03:00,0:02:00,2
TCno,WR,10:52:00,10:54:00,0:02:00,2
TSup,RR,11:02:00,11:04:00,0:02:00,2
TSup,WR,10:54:00,10:58:00,0:04:00,4
TCno,RR,10:55:00,10:57:00,0:02:00,2
TCno,WR,11:10:00,11:12:00,0:02:00,2
