Workspaces,Instances,Properties,SinglePropertyChanges,CollectionPropertyChanges,Conflicts detected,Time(s)
20,5,5,0,100,475,0.1953614
20,5,10,0,1,950,0.0175178
20,5,10,0,10,950,0.0593158
20,5,10,0,50,950,0.2110922
20,5,10,0,100,950,0.4617655
20,5,50,0,1,4750,0.082527
20,5,50,0,10,4750,0.2387872
20,5,50,0,50,4750,1.3745325
20,5,50,0,100,4750,2.5211306
20,10,1,0,1,190,0.0078871
20,10,1,0,10,190,0.0200667
20,10,1,0,50,190,0.0954944
20,10,1,0,100,190,0.0983284
20,10,5,0,1,950,0.018792
20,10,5,0,10,950,0.073098
20,10,5,0,50,950,0.2390906
20,10,5,0,100,950,0.3045662
20,10,10,0,1,1900,0.027339
20,10,10,0,10,1900,0.1313868
20,10,10,0,50,1900,0.3466832
20,10,10,0,100,1900,1.1718442
20,10,50,0,1,9500,0.2341241
20,10,50,0,10,9500,0.6373447
20,10,50,0,50,9500,2.8823021
20,10,50,0,100,9500,4.8152223
20,50,1,0,1,950,0.0167676
20,50,1,0,10,950,0.0879574
20,50,1,0,50,950,0.1436986
20,50,1,0,100,950,0.3224536
20,50,5,0,1,4750,0.0675942
20,50,5,0,10,4750,0.2101437
20,50,5,0,50,4750,1.5552171
20,50,5,0,100,4750,2.5192298
20,50,10,0,1,9500,0.2291055
20,50,10,0,10,9500,0.3465489
20,50,10,0,50,9500,2.4820149
20,50,10,0,100,9500,5.5734202
20,50,50,0,1,47500,0.3773831
20,50,50,0,10,47500,3.0119415
20,50,50,0,50,47500,11.8831137
20,50,50,0,100,47500,22.845638
40,1,1,0,1,39,0.0042292
40,1,1,0,10,39,0.006742
40,1,1,0,50,39,0.0274879
40,1,1,0,100,39,0.0665945
40,1,5,0,1,195,0.0065846
40,1,5,0,10,195,0.0244919
40,1,5,0,50,195,0.0367774
40,1,5,0,100,195,0.1451649
40,1,10,0,1,390,0.0102528
40,1,10,0,10,390,0.0521617
40,1,10,0,50,390,0.0856837
40,1,10,0,100,390,0.2228828
40,1,50,0,1,1950,0.0350481
40,1,50,0,10,1950,0.0925945
40,1,50,0,50,1950,0.9211284
40,1,50,0,100,1950,1.4138882
40,5,1,0,1,195,0.0074184
40,5,1,0,10,195,0.0577254
40,5,1,0,50,195,0.0383026
40,5,1,0,100,195,0.1176277
40,5,5,0,1,975,0.0238055
40,5,5,0,10,975,0.0433193
40,5,5,0,50,975,0.2865163
40,5,5,0,100,975,0.5160614
40,5,10,0,1,1950,0.0418204
40,5,10,0,10,1950,0.0993761
40,5,10,0,50,1950,0.5948386
40,5,10,0,100,1950,1.3768348
40,5,50,0,1,9750,0.0858463
40,5,50,0,10,9750,0.5995859
40,5,50,0,50,9750,3.8586758
40,5,50,0,100,9750,11.3923206
40,10,1,0,1,390,0.0330837
40,10,1,0,10,390,0.0405741
40,10,1,0,50,390,0.0906493
40,10,1,0,100,390,0.2691348
40,10,5,0,1,1950,0.0447171
40,10,5,0,10,1950,0.1490147
40,10,5,0,50,1950,0.7819554
40,10,5,0,100,1950,1.2308614
40,10,10,0,1,3900,0.063625
40,10,10,0,10,3900,0.3682938
40,10,10,0,50,3900,1.4059489
40,10,10,0,100,3900,3.2600641
40,10,50,0,1,19500,0.3482754
40,10,50,0,10,19500,2.0591554
40,10,50,0,50,19500,8.9167366
40,10,50,0,100,19500,21.0387205
40,50,1,0,1,1950,0.0729531
40,50,1,0,10,1950,0.2356016
40,50,1,0,50,1950,0.7282494
40,50,1,0,100,1950,1.1387505
40,50,5,0,1,9750,0.1549315
40,50,5,0,10,9750,0.7341898
40,50,5,0,50,9750,3.0191808
40,50,5,0,100,9750,6.6987291
40,50,10,0,1,19500,0.1558811
40,50,10,0,10,19500,1.311135
40,50,10,0,50,19500,7.404417
40,50,10,0,100,19500,16.1172933
40,50,50,0,1,97500,1.8429543
40,50,50,0,10,97500,9.1648885
