Workspaces;Instances;Properties;SinglePropertyChanges;CollectionPropertyChanges;Conflicts detected;Time(s)
20;5;5;100;0;475;0.1418094
20;5;10;1;0;950;0.0145374
20;5;10;10;0;950;0.0808087
20;5;10;50;0;950;0.1652492
20;5;10;100;0;950;0.2900239
20;5;50;1;0;4750;0.0707059
20;5;50;10;0;4750;0.1927837
20;5;50;50;0;4750;1.034491
20;5;50;100;0;4750;2.677645
20;10;1;1;0;190;0.0059832
20;10;1;10;0;190;0.0195271
20;10;1;50;0;190;0.0540181
20;10;1;100;0;190;0.1296185
20;10;5;1;0;950;0.0142928
20;10;5;10;0;950;0.0649227
20;10;5;50;0;950;0.2186412
20;10;5;100;0;950;0.3319262
20;10;10;1;0;1900;0.0303463
20;10;10;10;0;1900;0.1081747
20;10;10;50;0;1900;0.3633169
20;10;10;100;0;1900;0.7771511
20;10;50;1;0;9500;0.1941612
20;10;50;10;0;9500;0.5088681
20;10;50;50;0;9500;2.2525813
20;10;50;100;0;9500;4.8396375
20;50;1;1;0;950;0.0194243
20;50;1;10;0;950;0.0899388
20;50;1;50;0;950;0.1791013
20;50;1;100;0;950;0.5191937
20;50;5;1;0;4750;0.1655298
20;50;5;10;0;4750;0.20027
20;50;5;50;0;4750;0.9426725
20;50;5;100;0;4750;2.3689722
20;50;10;1;0;9500;0.2848506
20;50;10;10;0;9500;0.4915695
20;50;10;50;0;9500;2.2187424
20;50;10;100;0;9500;4.6545069
20;50;50;1;0;47500;0.4759148
20;50;50;10;0;47500;2.8271262
20;50;50;50;0;47500;10.4659134
20;50;50;100;0;47500;28.9522479
40;1;1;1;0;39;0.004235
40;1;1;10;0;39;0.0059591
40;1;1;50;0;39;0.0224993
40;1;1;100;0;39;0.0297551
40;1;5;1;0;195;0.007264
40;1;5;10;0;195;0.0186672
40;1;5;50;0;195;0.039485
40;1;5;100;0;195;0.1054359
40;1;10;1;0;390;0.0068549
40;1;10;10;0;390;0.0358639
40;1;10;50;0;390;0.0775458
40;1;10;100;0;390;0.2688034
40;1;50;1;0;1950;0.016654
40;1;50;10;0;1950;0.1064376
40;1;50;50;0;1950;0.5536435
40;1;50;100;0;1950;1.2970313
40;5;1;1;0;195;0.0071805
40;5;1;10;0;195;0.0246729
40;5;1;50;0;195;0.0568355
40;5;1;100;0;195;0.0825458
40;5;5;1;0;975;0.0214215
40;5;5;10;0;975;0.0609834
40;5;5;50;0;975;0.3994172
40;5;5;100;0;975;0.5219832
40;5;10;1;0;1950;0.0211646
40;5;10;10;0;1950;0.126646
40;5;10;50;0;1950;0.7122798
40;5;10;100;0;1950;1.2554688
40;5;50;1;0;9750;0.1399995
40;5;50;10;0;9750;0.6157681
40;5;50;50;0;9750;4.3305039
40;5;50;100;0;9750;8.2838593
40;10;1;1;0;390;0.0189663
40;10;1;10;0;390;0.0429141
40;10;1;50;0;390;0.0868121
40;10;1;100;0;390;0.240740001
40;10;5;1;0;1950;0.0414167
40;10;5;10;0;1950;0.1900871
40;10;5;50;0;1950;0.5898858
40;10;5;100;0;1950;1.3323923
40;10;10;1;0;3900;0.0373719
40;10;10;10;0;3900;0.3029115
40;10;10;50;0;3900;1.2412095
40;10;10;100;0;3900;2.6833236
40;10;50;1;0;19500;0.1654929
40;10;50;10;0;19500;1.3672184
40;10;50;50;0;19500;8.658604
40;10;50;100;0;19500;20.2605375
40;50;1;1;0;1950;0.0296819
40;50;1;10;0;1950;0.1185208
40;50;1;50;0;1950;0.5552378
40;50;1;100;0;1950;1.2588699
40;50;5;1;0;9750;0.0873179
40;50;5;10;0;9750;0.6704229
40;50;5;50;0;9750;4.3005116
40;50;5;100;0;9750;8.9847492
40;50;10;1;0;19500;0.2853018
40;50;10;10;0;19500;1.4693017
40;50;10;50;0;19500;12.8350226
40;50;10;100;0;19500;18.1346617
40;50;50;1;0;97500;1.5898356
40;50;50;10;0;97500;12.8137576
